Training Enformer model
Starting distributed training using '/home/lukezeng/chromatin-state-prediction/sample/binned_dataframe_enformer/train_shards'...
Computing class weights from dataset...
Computing class weights from dataset...
Computing class weights from dataset...
Computing class weights from dataset...
Computed class weights: tensor([4.9079e-01, 3.6471e+00, 2.4216e-01, 2.5659e-01, 1.5979e-02, 1.5975e-02,
        2.4998e-01, 1.4336e+00, 2.2534e-01, 1.0285e+01, 2.7438e-02, 6.4654e-02,
        3.0592e-02, 3.9714e-01, 5.6624e-01, 3.4207e-02, 1.5507e-02, 1.8380e-03],
Epoch 1 | Step 4410 | Loss: 0.6705
Epoch 1 | Step 4420 | Loss: 0.6789
Epoch 1 | Step 4430 | Loss: 0.6678
Epoch 1 | Step 4440 | Loss: 0.7043
Epoch 1 | Step 4450 | Loss: 0.6664
Epoch 1 | Step 4460 | Loss: 0.5446
Epoch 1 | Step 4470 | Loss: 0.5800
Epoch 1 | Step 4480 | Loss: 0.6209
Epoch 1 | Step 4490 | Loss: 0.5964
Epoch 1 | Step 4500 | Loss: 0.5608
Epoch 1 | Step 4510 | Loss: 0.6465
Epoch 1 | Step 4520 | Loss: 0.6369
Epoch 1 | Step 4530 | Loss: 0.6535
Epoch 1 | Step 4540 | Loss: 0.6349
Epoch 1 | Step 4550 | Loss: 0.8103
Epoch 1 | Step 4560 | Loss: 0.7419
Epoch 1 | Step 4570 | Loss: 0.6701
Epoch 1 | Step 4580 | Loss: 0.5833
Epoch 1 | Step 4590 | Loss: 0.6363
Epoch 1 | Step 4600 | Loss: 0.6157
Epoch 1 | Step 4610 | Loss: 0.6109
Epoch 1 | Step 4620 | Loss: 0.6272
Epoch 1 | Step 4630 | Loss: 0.7212
Epoch 1 | Step 4640 | Loss: 0.6279
Epoch 1 | Step 4650 | Loss: 0.5897
Epoch 1 | Step 4660 | Loss: 0.6716
Epoch 1 | Step 4670 | Loss: 0.9645
Epoch 1 | Step 4680 | Loss: 0.6627
Epoch 1 | Step 4690 | Loss: 0.6321
Epoch 1 | Step 4700 | Loss: 0.9576
Epoch 1 | Step 4710 | Loss: 0.6189
Epoch 1 | Step 4720 | Loss: 0.5852
Epoch 1 | Step 4730 | Loss: 0.6388
Epoch 1 | Step 4740 | Loss: 0.6523
Epoch 1 | Step 4750 | Loss: 0.7568
Epoch 1 | Step 4760 | Loss: 0.7838
Epoch 1 | Step 4770 | Loss: 0.6969
Epoch 1 | Step 4780 | Loss: 0.7027
Epoch 1 | Step 4790 | Loss: 0.7551
Epoch 1 | Step 4800 | Loss: 0.5673
Epoch 1 | Step 4810 | Loss: 0.6396
Epoch 1 | Step 4820 | Loss: 0.6724
Epoch 1 | Step 4830 | Loss: 0.7958
Epoch 1 | Step 4840 | Loss: 0.7071
Epoch 1 | Step 4850 | Loss: 0.6628
Epoch 1 | Step 4860 | Loss: 0.6180
Epoch 1 | Step 4870 | Loss: 0.7179
Epoch 1 | Step 4880 | Loss: 0.6816
Epoch 1 | Step 4890 | Loss: 0.5479
Epoch 1 | Step 4900 | Loss: 0.5445
Epoch 1 | Step 4910 | Loss: 0.6937
Epoch 1 | Step 4920 | Loss: 0.5240
Epoch 1 | Step 4930 | Loss: 0.6683
Epoch 1 | Step 4940 | Loss: 0.6835
Epoch 1 | Step 4950 | Loss: 0.6095
Epoch 1 | Step 4960 | Loss: 0.6910
Epoch 1 | Step 4970 | Loss: 0.6727
Epoch 1 | Step 4980 | Loss: 0.5831
Epoch 1 | Step 4990 | Loss: 0.5750
Epoch 1 | Step 5000 | Loss: 0.6223
Saving checkpoint to /home/lukezeng/chromatin-state-prediction/playground/checkpoints/enformer_step_5000.pt...
